780,1,3.5881,8.4568
781,1,3.5998,8.5683
782,1,3.6116,8.6797
783,1,3.6233,8.7912
784,1,3.6351,8.9026
785,1,3.6468,9.0141
786,1,3.6586,9.1255
787,1,3.6904,9.2358
788,1,3.7222,9.3461
789,1,3.7540,9.4563
790,1,3.7858,9.5666
791,1,3.8176,9.6769
792,1,3.8494,9.7871
793,1,3.8671,9.9013
794,1,3.8848,10.0150
795,1,3.9024,10.1300
796,1,3.9201,10.2440
797,1,3.9378,10.3580
798,1,3.9555,10.4720
799,1,3.9731,10.5710
800,1,3.9907,10.6700
801,1,4.0084,10.7690
802,1,4.0260,10.8680
803,1,4.0436,10.9670
804,1,4.0613,11.0660
804,2,5.7826,13.0180
805,1,4.1045,11.1770
805,2,5.7775,12.8630
806,1,4.1477,11.2880
806,2,5.7724,12.7080
807,1,4.1909,11.3990
807,2,5.7673,12.5530
808,1,4.2341,11.5100
808,2,5.7622,12.3980
809,1,4.2773,11.6210
809,2,5.7571,12.2430
810,1,4.3206,11.7320
810,2,5.7519,12.0880
811,1,4.3499,11.8400
811,2,5.7483,12.0310
812,1,4.3793,11.9480
812,2,5.7446,11.9740
813,1,4.4087,12.0570
813,2,5.7409,11.9170
814,1,4.4380,12.1650
814,2,5.7372,11.8600
815,1,4.4674,12.2730
815,2,5.7335,11.8030
816,1,4.4968,12.3810
816,2,5.7298,11.7460
817,2,5.7476,11.6510
818,2,5.7653,11.5560
819,2,5.7830,11.4610
820,2,5.8008,11.3660
821,2,5.8185,11.2700
822,2,5.8362,11.1750
823,2,5.8424,11.0520
824,2,5.8486,10.9280
825,2,5.8547,10.8050
826,2,5.8609,10.6810
827,2,5.8670,10.5580
828,2,5.8732,10.4340
829,2,5.9229,10.3700
830,2,5.9726,10.3060
831,2,6.0223,10.2420
832,2,6.0721,10.1780
833,2,6.1218,10.1140
834,2,6.1715,10.0500
834,3,6.6684,12.2710
835,2,6.1825,9.9704
835,3,6.6848,12.2150
836,2,6.1934,9.8906
836,3,6.7012,12.1590
837,2,6.2044,9.8108
837,3,6.7175,12.1030
838,2,6.2154,9.7309
838,3,6.7339,12.0480
839,2,6.2264,9.6511
839,3,6.7503,11.9920
840,2,6.2374,9.5713
840,3,6.7666,11.9360
841,2,6.2418,9.4901
841,3,6.7913,11.8550
842,2,6.2462,9.4089
842,3,6.8159,11.7740
843,2,6.2506,9.3277
843,3,6.8405,11.6920
844,2,6.2550,9.2465
844,3,6.8652,11.6110
845,2,6.2594,9.1653
845,3,6.8898,11.5290
846,2,6.2638,9.0841
846,3,6.9144,11.4480
846,4,5.1260,-1.7114
846,5,4.3795,-1.8861
846,6,5.7482,12.1630
847,2,6.2822,8.9955
847,3,6.8951,11.3440
847,4,5.1226,-1.6127
847,5,4.3926,-1.7854
847,6,5.7653,12.0820
848,2,6.3006,8.9070
848,3,6.8757,11.2410
848,4,5.1193,-1.5139
848,5,4.4057,-1.6847
